,season,winning_team,winning_score,losing_team,losing_score,Winning_field_goal_%,Winning_3_%,Winning_free_throw_%,Winning_total_rebounds,Winning_assists,Winning_turnovers,Winning_steals,Losing_field_goal_%,Losing_3_%,Losing_free_throw_%,Losing_total_rebounds,Losing_assists,Losing_turnover,Losing_steals
19,2003,Florida,85,Sam Houston St,55,52.45901639,46.42857143,57.14285714,9227,24,10,6,33.33333333,33.33333333,61.11111111,9709,10,16,1
20,2003,Indiana,67,Alabama,62,38.7755102,38.88888889,84.61538462,9218,15,8,1,42.30769231,41.66666667,81.25,9704,13,8,2
21,2003,Kentucky,95,IUPUI,64,61.53846154,50.0,45.45454545,9221,22,13,7,36.66666667,26.66666667,72.72727273,9702,10,19,7
22,2003,Louisville,86,Austin Peay,64,50.0,33.33333333,61.53846154,9225,18,12,12,44.44444444,9.523809523999999,63.63636364,9705,11,18,5
23,2003,Maryland,75,UNC Wilmington,73,50.0,52.63157895,73.33333333,9223,17,13,3,36.36363636,44.82758621,76.92307692,9703,16,8,7
24,2003,Michigan St,79,Colorado,64,46.42857143,53.84615385,80.0,9224,16,11,5,43.33333333,35.71428571,41.17647059,9707,9,13,6
25,2003,Oklahoma St,77,Penn,63,54.0,35.0,57.14285714,9211,15,11,12,48.780487799999996,44.44444444,93.75,9697,17,18,5
26,2003,Pittsburgh,87,Wagner,61,55.93220339,56.25,57.14285714,9219,22,9,14,41.17647059,33.33333333,66.66666667,9704,13,19,6
27,2003,Purdue,80,LSU,56,51.92307692,56.25,89.47368421,9221,7,19,9,33.33333333,23.07692308,58.82352941,9702,7,16,7
28,2003,Syracuse,76,Manhattan,65,57.69230769,36.36363636,80.0,9224,16,18,5,36.06557377,28.57142857,83.33333333,9698,16,11,9
29,2003,Texas,82,UNC Asheville,61,50.0,37.5,70.0,9224,15,14,6,37.09677419,23.80952381,83.33333333,9700,5,11,9
30,2003,Utah,60,Oregon,58,29.50819672,39.13043478,83.33333333,9219,8,15,7,34.54545455,17.64705882,70.83333333,9713,8,17,6
31,2003,Wake Forest,76,ETSU,73,42.02898551,26.08695652,60.0,9225,13,19,8,40.0,50.0,71.42857143,9709,7,15,12
32,2003,Xavier,71,Troy,59,40.625,30.0,72.22222222,9226,19,10,5,35.38461538,37.93103448,33.33333333,9705,13,9,6
33,2003,Arizona,96,Gonzaga,95,45.94594595,29.16666667,72.41379309999999,9225,18,9,7,44.15584416,36.66666667,76.19047619,9711,20,11,5
34,2003,Connecticut,85,Stanford,74,45.58823529,60.0,80.95238095,9222,12,9,4,43.54838710000001,34.782608700000004,70.58823529,9706,12,11,2
35,2003,Duke,86,C Michigan,60,61.53846154,66.66666667,75.0,9219,14,11,15,36.84210526,47.05882353,71.42857143,9703,8,21,4
36,2003,Kansas,108,Arizona St,76,67.79661017,55.55555556,67.64705882,9224,21,13,6,40.57971014,26.66666667,69.56521739,9698,11,11,7
37,2003,Marquette,101,Missouri,92,56.45161289999999,66.66666667,95.0,9221,18,12,6,43.05555556,41.66666667,78.94736842,9704,19,12,4
38,2003,Notre Dame,68,Illinois,60,40.98360656,54.16666667,100.0,9228,12,11,5,34.92063492,29.41176471,68.75,9715,12,9,6
39,2003,Oklahoma,74,California,65,50.98039216,53.84615385,62.5,9219,16,12,2,51.92307692,31.25,50.0,9702,6,9,5
40,2003,Wisconsin,61,Tulsa,60,38.59649123,27.27272727,64.70588235,9218,12,5,5,44.06779661,27.27272727,100.0,9714,12,11,1
41,2003,Auburn,68,Wake Forest,62,42.85714286,21.05263158,80.0,9217,11,14,9,36.73469388,34.782608700000004,85.71428571,9707,5,18,7
42,2003,Butler,79,Louisville,71,51.92307692,63.63636364,57.89473684,9214,21,12,6,51.85185185,44.0,100.0,9703,13,14,8
43,2003,Kentucky,74,Utah,54,47.27272727,30.76923077,100.0,9218,11,13,4,39.58333333,28.57142857,75.0,9698,8,16,7
44,2003,Maryland,77,Xavier,64,51.72413793,23.07692308,82.35294118,9228,19,8,2,35.087719299999996,38.88888889,70.83333333,9704,12,7,2
45,2003,Michigan St,68,Florida,46,55.55555556,37.5,66.66666667,9217,15,10,5,37.20930233,23.80952381,75.0,9698,9,14,2
46,2003,Pittsburgh,74,Indiana,52,53.19148936,44.44444444,71.42857143,9217,15,11,9,43.18181818,35.29411765,80.0,9699,13,16,3
47,2003,Syracuse,68,Oklahoma St,56,45.61403509,41.66666667,61.11111111,9229,16,17,11,34.92063492,15.78947368,47.36842105,9711,16,22,8
48,2003,Texas,77,Purdue,67,40.32258065,45.45454545,84.61538462,9223,8,13,4,37.09677419,31.25,66.66666667,9706,10,13,7
49,2003,Arizona,88,Notre Dame,71,47.36842105,50.0,81.81818182,9226,19,10,12,42.37288136,43.47826087,61.11111111,9711,15,19,6
50,2003,Kansas,69,Duke,65,43.28358209,8.333333332999999,58.82352941,9225,14,17,4,38.46153846,38.46153846,62.5,9706,11,14,6
51,2003,Kentucky,63,Wisconsin,57,48.97959184,20.0,58.33333333,9217,9,14,10,42.22222222,38.095238099999996,68.75,9703,9,15,7
52,2003,Marquette,77,Pittsburgh,74,51.85185185,50.0,68.18181818,9214,16,10,7,52.72727273,28.57142857,80.0,9704,18,12,6
53,2003,Michigan St,60,Maryland,58,39.28571429,35.29411765,83.33333333,9222,10,18,8,37.03703704,12.5,88.88888889,9708,8,15,12
54,2003,Oklahoma,65,Butler,54,49.09090909,40.0,58.33333333,9216,15,13,6,44.18604651,30.76923077,70.58823529,9698,10,13,7
55,2003,Syracuse,79,Auburn,78,43.93939394,35.71428571,76.19047619,9217,14,10,9,42.85714286,45.45454545,82.35294118,9710,15,17,5
56,2003,Texas,82,Connecticut,78,34.782608700000004,27.77777778,80.55555556,9227,13,10,5,42.25352113,30.76923077,56.0,9711,13,11,7
57,2003,Kansas,78,Arizona,75,43.28358209,30.76923077,66.66666667,9218,16,15,13,41.81818182,45.45454545,82.60869565,9710,16,19,8
58,2003,Marquette,83,Kentucky,69,56.36363636,52.63157895,73.33333333,9222,21,15,6,39.0625,25.0,62.5,9700,14,11,10
59,2003,Syracuse,63,Oklahoma,47,52.08333333,16.66666667,57.89473684,9224,16,24,13,31.03448276,17.85714286,54.54545455,9698,10,19,13
60,2003,Texas,85,Michigan St,76,49.01960784,42.85714286,76.31578947,9216,16,4,6,46.2962963,50.0,69.23076923,9710,11,12,1
61,2003,Kansas,94,Marquette,61,53.52112676,42.10526316,58.82352941,9229,22,12,8,31.08108108,18.75,66.66666667,9702,7,11,7
62,2003,Syracuse,95,Texas,84,57.14285714,53.84615385,77.41935484,9224,14,13,9,42.85714286,47.61904762,62.5,9701,20,14,6
63,2003,Syracuse,81,Kansas,78,47.61904762,61.11111111,58.82352941,9221,13,17,10,43.66197183,20.0,40.0,9710,18,18,9
64,2004,Florida A&M,72,Lehigh,57,39.68253968,30.0,69.56521739,9221,11,12,8,29.50819672,23.33333333,73.68421053,9705,12,17,7
65,2004,Alabama,65,S Illinois,64,45.28301887,43.75,62.5,9220,7,12,7,40.6779661,54.54545455,80.0,9704,15,10,4
66,2004,Connecticut,70,Vermont,53,50.0,42.85714286,52.17391304,9227,14,13,6,31.66666667,34.375,66.66666667,9702,10,12,7
67,2004,DePaul,76,Dayton,69,40.6779661,38.46153846,57.5,9234,13,11,4,34.17721519,15.0,52.17391304,9716,11,10,5
68,2004,Duke,96,Alabama St,61,48.48484848,34.61538462,74.19354839,9225,19,14,14,38.59649123,35.0,58.82352941,9706,7,21,7
69,2004,Gonzaga,76,Valparaiso,49,53.7037037,23.07692308,60.0,9232,19,15,6,28.57142857,26.08695652,63.63636364,9705,8,13,6
70,2004,Manhattan,75,Florida,60,43.33333333,40.0,80.95238095,9219,10,10,8,46.66666667,23.07692308,68.18181818,9706,4,14,4
71,2004,Maryland,86,UTEP,83,49.15254237,44.44444444,64.51612903,9217,17,14,7,51.78571429,29.41176471,83.33333333,9704,13,14,2
72,2004,Nevada,72,Michigan St,66,43.47826087,31.81818182,86.20689655,9219,10,17,6,41.81818182,31.25,83.33333333,9704,14,14,9
73,2004,North Carolina,63,Air Force,52,41.50943396,30.76923077,83.33333333,9217,12,13,10,43.58974359,32.0,76.92307692,9703,15,16,7
74,2004,Seton Hall,80,Arizona,76,46.55172414,36.36363636,75.0,9217,12,10,6,52.83018868,45.45454545,78.94736842,9706,12,14,4
75,2004,St Joseph's PA,82,Liberty,63,45.0,34.782608700000004,71.42857143,9222,16,14,15,43.1372549,30.0,72.22222222,9713,15,26,7
76,2004,Stanford,71,UT San Antonio,45,50.0,42.85714286,73.33333333,9225,11,20,11,23.80952381,13.33333333,61.9047619,9701,2,19,8
77,2004,Syracuse,80,BYU,75,52.17391304,68.75,75.0,9214,12,7,2,47.27272727,38.46153846,68.42105263,9705,19,9,2
78,2004,Texas,66,Princeton,49,46.0,73.33333333,64.28571429,9222,10,13,3,35.29411765,19.23076923,66.66666667,9698,11,7,5
79,2004,Texas Tech,76,Charlotte,73,49.15254237,36.36363636,77.77777778,9218,17,16,7,43.10344828,25.0,80.95238095,9704,14,14,11
80,2004,Wake Forest,79,VA Commonwealth,78,51.85185185,37.5,62.96296296,9219,16,11,7,50.87719298,55.0,69.23076923,9704,17,17,7
81,2004,Boston College,58,Utah,51,52.27272727,75.0,81.81818182,9217,20,8,4,38.0,16.66666667,100.0,9701,12,8,2
82,2004,Cincinnati,80,ETSU,77,46.77419355,40.625,81.81818182,9229,22,17,3,39.18918919,26.08695652,65.0,9705,14,6,11
83,2004,Georgia Tech,65,Northern Iowa,60,45.45454545,33.33333333,75.0,9225,10,12,4,38.88888889,37.03703704,80.0,9709,15,10,2
84,2004,Illinois,72,Murray St,53,45.0,37.5,69.23076923,9224,19,8,5,34.69387755,40.0,64.70588235,9702,8,10,4
85,2004,Kansas,78,IL Chicago,53,61.53846154,41.66666667,62.5,9231,18,25,6,31.25,18.75,71.42857143,9699,10,15,9
86,2004,Kentucky,96,Florida A&M,76,56.45161289999999,39.28571429,65.21739129999999,9225,23,17,8,45.45454545,36.66666667,41.66666667,9701,13,17,13
87,2004,Memphis,59,South Carolina,43,38.98305085,33.33333333,57.14285714,9218,16,9,3,35.71428571,15.38461538,68.75,9705,9,12,5
88,2004,Mississippi St,85,Monmouth NJ,52,53.57142857,36.36363636,73.91304348,9230,19,17,12,35.29411765,33.33333333,46.66666667,9701,12,17,7
89,2004,NC State,61,ULL,52,36.73469388,29.41176471,83.33333333,9220,10,15,5,32.65306122,22.72727273,65.21739129999999,9705,9,15,9
90,2004,Oklahoma St,75,E Washington,56,54.54545455,33.33333333,81.25,9222,15,15,12,35.59322034,15.78947368,84.61538462,9699,19,14,8
91,2004,Pacific,66,Providence,58,48.0,42.85714286,66.66666667,9218,17,12,7,37.70491803,23.07692308,100.0,9705,12,15,4
92,2004,Pittsburgh,53,UCF,44,29.54545455,31.25,70.96774194,9223,7,13,8,30.76923077,25.0,70.0,9708,10,14,6
93,2004,UAB,102,Washington,100,46.15384615,34.61538462,75.0,9222,23,12,8,54.6875,30.0,70.58823529,9715,19,16,6
94,2004,Vanderbilt,71,W Michigan,58,56.52173913,57.89473684,44.44444444,9221,16,17,9,34.92063492,10.52631579,75.0,9702,10,12,13
95,2004,Wisconsin,76,Richmond,64,49.01960784,44.44444444,75.0,9214,14,9,7,46.2962963,43.75,53.84615385,9700,17,14,8
96,2004,Xavier,80,Louisville,70,50.0,50.0,86.20689655,9223,15,15,6,39.68253968,31.25,76.92307692,9697,18,10,7
97,2004,Alabama,70,Stanford,67,37.20930233,21.05263158,77.27272727,9220,8,8,6,35.61643836,29.16666667,72.72727273,9711,12,12,2
98,2004,Connecticut,72,DePaul,55,43.33333333,31.25,65.21739129999999,9227,15,5,5,33.89830508,33.33333333,76.92307692,9710,12,8,1
99,2004,Duke,90,Seton Hall,62,54.16666667,36.36363636,89.47368421,9225,16,10,3,42.10526316,17.64705882,68.75,9698,11,10,4
100,2004,Nevada,91,Gonzaga,72,46.875,47.05882353,79.31034483,9225,18,8,4,37.33333333,13.63636364,72.22222222,9704,9,10,4
101,2004,St Joseph's PA,70,Texas Tech,65,47.36842105,38.70967742,80.0,9216,13,13,4,47.16981132,25.0,85.71428571,9704,16,9,7
102,2004,Syracuse,72,Maryland,70,40.0,33.33333333,63.15789474,9222,11,12,7,38.46153846,25.0,71.05263158,9712,13,17,5
103,2004,Texas,78,North Carolina,75,49.09090909,38.46153846,82.60869565,9222,10,11,6,38.46153846,32.14285714,84.21052632,9704,14,11,6
104,2004,Wake Forest,84,Manhattan,80,50.87719298,40.0,75.0,9225,15,10,5,46.03174603,35.0,75.0,9708,15,8,5
105,2004,Georgia Tech,57,Boston College,54,45.09803922,33.33333333,83.33333333,9212,15,17,12,45.45454545,38.46153846,60.0,9703,14,22,11
106,2004,Illinois,92,Cincinnati,68,63.63636364,57.89473684,78.57142857,9215,26,4,9,46.55172414,43.75,63.63636364,9704,14,13,1
107,2004,Kansas,78,Pacific,63,48.33333333,33.33333333,71.42857143,9221,17,13,11,42.59259259,30.0,73.33333333,9702,19,14,6
108,2004,Oklahoma St,70,Memphis,53,59.57446809,41.66666667,52.94117647,9216,18,17,8,40.0,35.29411765,50.0,9695,9,12,6
109,2004,Pittsburgh,59,Wisconsin,55,35.59322034,20.0,78.94736842,9221,10,9,7,35.41666667,44.44444444,76.47058824,9708,9,13,4
110,2004,UAB,76,Kentucky,75,44.7761194,44.44444444,61.53846154,9211,19,12,9,44.26229508,35.0,77.77777778,9705,13,16,4
111,2004,Vanderbilt,75,NC State,73,46.93877551,40.0,90.47619048,9213,15,8,4,47.36842105,41.93548387,75.0,9702,13,6,1
112,2004,Xavier,89,Mississippi St,74,54.54545455,68.42105263,69.56521739,9228,14,13,3,36.11111111,34.61538462,61.9047619,9706,14,8,11
113,2004,Alabama,80,Syracuse,71,50.0,40.90909091,82.60869565,9213,22,9,11,47.27272727,35.71428571,70.0,9703,12,18,5
114,2004,Connecticut,73,Vanderbilt,53,52.94117647,35.29411765,86.66666667,9229,14,18,6,35.087719299999996,33.33333333,62.5,9699,11,11,8
115,2004,Oklahoma St,63,Pittsburgh,51,48.88888889,50.0,93.75,9220,13,10,6,36.20689655,17.64705882,60.0,9701,8,12,5
116,2004,St Joseph's PA,84,Wake Forest,80,50.0,50.0,60.86956522,9216,15,11,8,52.94117647,50.0,72.0,9705,15,15,6
117,2004,Duke,72,Illinois,62,54.90196078,33.33333333,66.66666667,9220,19,13,10,40.625,30.76923077,54.54545455,9706,17,12,5
118,2004,Georgia Tech,72,Nevada,67,42.85714286,33.33333333,54.54545455,9232,10,16,9,31.88405797,25.0,75.0,9713,5,11,4
119,2004,Kansas,100,UAB,74,53.57142857,40.0,81.81818182,9231,21,17,9,32.3943662,24.24242424,83.33333333,9703,12,12,13
120,2004,Xavier,79,Texas,71,39.65517241,32.0,71.42857143,9219,13,7,6,41.93548387,43.75,70.58823529,9705,12,8,1
121,2004,Connecticut,87,Alabama,71,48.33333333,58.82352941,65.51724138,9221,17,7,3,41.66666667,31.57894737,83.33333333,9705,14,9,2
122,2004,Oklahoma St,64,St Joseph's PA,62,47.16981132,23.52941176,66.66666667,9226,13,13,2,38.59649123,30.76923077,76.92307692,9702,15,5,8
123,2004,Duke,66,Xavier,63,38.88888889,40.0,80.0,9225,15,11,6,34.92063492,20.0,69.56521739,9708,8,10,5
124,2004,Georgia Tech,79,Kansas,71,44.64285714,18.75,76.47058824,9226,14,12,13,40.0,31.57894737,68.42105263,9710,15,15,8
125,2004,Connecticut,79,Duke,78,50.0,54.54545455,65.625,9227,9,18,5,40.84507042,27.27272727,60.86956522,9704,11,9,8
126,2004,Georgia Tech,67,Oklahoma St,65,48.97959184,41.17647059,75.0,9218,16,12,7,44.0,26.66666667,68.0,9705,10,13,3
127,2004,Connecticut,82,Georgia Tech,73,42.62295082,29.41176471,64.10256410000001,9228,10,16,5,38.02816901,31.81818182,57.14285714,9709,9,14,10
128,2005,Oakland,79,Alabama A&M,69,50.87719298,46.66666667,70.0,9225,14,17,2,38.98305085,35.71428571,72.22222222,9703,16,14,6
129,2005,Arizona,66,Utah St,53,46.93877551,42.85714286,77.77777778,9220,9,11,3,36.36363636,36.84210526,60.0,9704,15,12,6
130,2005,Boston College,85,Penn,65,57.69230769,66.66666667,68.0,9229,24,19,8,35.21126761,33.33333333,50.0,9702,17,17,11
131,2005,Cincinnati,76,Iowa,64,47.36842105,50.0,59.09090909,9223,18,8,5,33.89830508,29.41176471,76.0,9711,5,11,6
132,2005,Gonzaga,74,Winthrop,64,45.76271186,31.25,68.18181818,9225,13,10,5,36.66666667,38.46153846,83.33333333,9710,16,13,4
133,2005,Illinois,67,F Dickinson,55,42.59259259,28.57142857,71.42857143,9218,16,8,8,40.35087719,25.0,45.45454545,9711,11,17,6
134,2005,Kentucky,72,E Kentucky,64,50.98039216,18.18181818,69.23076923,9218,11,14,9,44.06779661,33.33333333,54.54545455,9706,14,17,5
135,2005,Nevada,61,Texas,57,37.09677419,21.42857143,66.66666667,9229,11,8,4,35.29411765,50.0,66.66666667,9711,2,5,5
136,2005,Oklahoma,84,Niagara,67,45.94594595,23.07692308,86.66666667,9230,16,14,9,35.29411765,21.42857143,86.66666667,9710,12,16,8
137,2005,Pacific,79,Pittsburgh,71,47.27272727,50.0,73.91304348,9221,15,12,2,42.37288136,34.782608700000004,72.22222222,9704,10,10,7
138,2005,Texas Tech,78,UCLA,66,61.53846154,42.85714286,68.75,9224,21,14,7,43.33333333,30.0,53.33333333,9702,16,13,5
139,2005,UAB,82,LSU,68,45.76271186,43.75,58.33333333,9220,15,15,8,35.9375,19.35483871,72.72727273,9710,10,21,6
140,2005,Utah,60,UTEP,54,42.85714286,25.0,60.0,9221,15,18,7,41.50943396,22.22222222,88.88888889,9701,13,10,6
141,2005,Wake Forest,70,Chattanooga,54,41.37931034,28.57142857,66.66666667,9218,16,15,10,40.38461538,30.0,66.66666667,9708,12,22,5
142,2005,Washington,88,Montana,77,55.17241379,47.36842105,68.18181818,9219,19,16,9,50.76923077,45.0,25.0,9705,15,18,5
143,2005,West Virginia,63,Creighton,61,47.82608696,40.0,84.61538462,9217,19,16,12,42.0,40.0,84.61538462,9701,12,17,8
144,2005,WI Milwaukee,83,Alabama,73,52.0,57.14285714,67.85714286,9210,20,7,6,52.0,39.13043478,75.0,9706,17,19,3
145,2005,Bucknell,64,Kansas,63,40.0,25.80645161,75.0,9217,17,9,10,43.47826087,9.090909091,81.48148148,9710,14,13,5
146,2005,Connecticut,77,UCF,71,50.0,50.0,64.0,9225,17,13,7,34.42622951,39.28571429,85.71428571,9701,16,10,10
147,2005,Duke,57,Delaware St,46,41.02564103,30.0,65.51724138,9223,9,8,5,36.53846154,33.33333333,50.0,9705,10,11,3
148,2005,Florida,67,Ohio,62,38.88888889,30.43478261,94.73684211,9217,15,16,11,39.13043478,50.0,65.38461538,9707,8,20,8
149,2005,Georgia Tech,80,G Washington,68,50.0,43.75,77.27272727,9228,11,17,10,44.61538462,37.5,25.0,9706,19,14,9
150,2005,Iowa St,64,Minnesota,53,43.85964912,25.0,63.15789474,9220,11,13,12,33.33333333,21.73913043,60.0,9705,8,17,9
151,2005,Louisville,68,ULL,62,38.59649123,27.27272727,66.66666667,9216,12,11,5,45.28301887,33.33333333,55.55555556,9708,14,18,7
152,2005,Michigan St,89,Old Dominion,81,56.8627451,21.42857143,77.77777778,9221,11,13,9,42.62295082,35.0,84.61538462,9704,13,15,9
153,2005,Mississippi St,93,Stanford,70,56.14035088,52.94117647,76.92307692,9225,13,9,3,38.095238099999996,22.22222222,72.0,9702,9,5,6
154,2005,NC State,75,Charlotte,63,44.06779661,21.05263158,86.36363636,9218,14,16,14,39.65517241,38.095238099999996,64.28571429,9708,11,20,8
155,2005,North Carolina,96,Oakland,68,63.79310345,63.15789474,52.63157895,9220,27,15,9,43.10344828,40.0,66.66666667,9695,12,10,9
156,2005,Oklahoma St,63,SE Louisiana,50,48.64864865,57.14285714,79.31034483,9218,13,17,11,44.44444444,30.0,70.0,9698,10,17,12
157,2005,S Illinois,65,St Mary's CA,56,40.98360656,33.33333333,78.57142857,9217,12,10,8,33.33333333,20.0,81.81818182,9710,3,20,2
158,2005,Vermont,60,Syracuse,57,37.28813559,33.33333333,81.81818182,9213,14,16,10,41.81818182,25.0,88.88888889,9707,8,24,9
159,2005,Villanova,55,New Mexico,47,28.30188679,27.586206899999997,70.83333333,9225,9,20,12,29.8245614,16.0,75.0,9707,6,17,9
160,2005,Wisconsin,57,Northern Iowa,52,41.66666667,42.30769231,60.0,9221,14,8,3,41.50943396,23.52941176,50.0,9711,8,8,4
161,2005,Arizona,85,UAB,63,52.63157895,31.81818182,78.26086957,9224,16,16,7,32.8125,20.0,83.33333333,9701,15,14,9
162,2005,Illinois,71,Nevada,59,53.06122449,16.66666667,85.0,9222,18,16,9,37.03703704,33.33333333,64.0,9704,10,14,10
163,2005,Kentucky,69,Cincinnati,60,51.02040816,58.33333333,66.66666667,9225,16,15,7,32.78688525,26.92307692,68.42105263,9705,10,10,4
164,2005,Texas Tech,71,Gonzaga,69,49.15254237,36.36363636,56.25,9220,18,7,7,46.77419355,15.38461538,50.0,9711,14,13,2
165,2005,Utah,67,Oklahoma,58,59.45945946,62.5,64.28571429,9226,15,20,2,31.81818182,10.52631579,73.68421053,9698,3,7,8
166,2005,Washington,97,Pacific,79,56.25,39.13043478,84.21052632,9219,17,7,2,44.7761194,33.33333333,64.70588235,9698,13,8,4
167,2005,West Virginia,111,Wake Forest,105,52.85714286,33.33333333,76.92307692,9221,20,11,5,50.70422535,39.13043478,66.66666667,9713,23,18,7
168,2005,WI Milwaukee,83,Boston College,75,47.27272727,45.83333333,90.90909091,9212,17,16,11,46.0,36.36363636,71.42857143,9705,16,22,6
169,2005,Duke,63,Mississippi St,55,38.0,38.095238099999996,80.95238095,9226,8,16,8,32.25806452,30.76923077,52.38095238,9705,9,10,7
170,2005,Louisville,76,Georgia Tech,54,52.38095238,47.61904762,78.57142857,9224,10,11,1,37.73584906,37.5,80.0,9699,11,7,7
171,2005,Michigan St,72,Vermont,61,48.21428571,16.66666667,72.72727273,9223,12,9,4,31.42857143,31.81818182,71.42857143,9702,5,9,4
172,2005,NC State,65,Connecticut,62,40.0,50.0,88.23529412,9215,13,13,10,42.30769231,14.28571429,88.88888889,9706,9,14,3
173,2005,North Carolina,92,Iowa St,65,47.69230769,32.0,59.45945946,9231,20,13,14,35.52631579,30.76923077,41.17647059,9711,20,17,8
174,2005,Oklahoma St,85,S Illinois,77,54.34782609,50.0,87.87878788,9218,18,14,3,41.07142857,31.57894737,83.33333333,9700,14,11,8
175,2005,Villanova,76,Florida,65,41.37931034,27.27272727,71.42857143,9223,10,14,11,38.46153846,38.88888889,72.0,9708,9,19,6
176,2005,Wisconsin,71,Bucknell,62,45.65217391,41.17647059,75.86206897,9218,14,7,5,46.0,33.33333333,78.57142857,9706,13,10,4
177,2005,Arizona,79,Oklahoma St,78,65.95744681,50.0,58.82352941,9219,17,14,3,43.93939394,43.47826087,76.92307692,9695,17,8,10
178,2005,Illinois,77,WI Milwaukee,63,49.12280702,45.0,80.0,9221,20,9,7,38.59649123,24.13793103,66.66666667,9706,12,12,4
179,2005,Louisville,93,Washington,79,55.35714286,42.30769231,71.42857143,9230,17,17,8,41.79104478,24.0,60.71428571,9704,15,11,9
180,2005,West Virginia,65,Texas Tech,60,47.05882353,40.90909091,61.53846154,9216,14,18,5,42.85714286,12.5,68.75,9703,10,16,11
181,2005,Kentucky,62,Utah,52,61.53846154,30.76923077,52.63157895,9217,10,14,6,41.46341463,40.0,50.0,9700,10,12,5
182,2005,Michigan St,78,Duke,68,41.53846154,35.71428571,82.60869565,9218,12,16,13,43.1372549,30.43478261,70.83333333,9708,8,22,11
183,2005,North Carolina,67,Villanova,66,41.66666667,42.10526316,79.16666667,9226,11,17,3,37.70491803,28.57142857,63.15789474,9703,7,9,5
184,2005,Wisconsin,65,NC State,56,50.0,40.0,76.0,9227,7,18,2,38.0,40.90909091,69.23076923,9703,12,13,10
185,2005,Illinois,90,Arizona,89,45.07042254,45.71428571,66.66666667,9214,21,13,12,52.45901639,38.88888889,85.71428571,9709,21,17,11
186,2005,Louisville,93,West Virginia,85,55.17241379,39.28571429,62.06896552,9215,19,11,8,55.31914894,66.66666667,78.94736842,9699,23,14,5
187,2005,Michigan St,94,Kentucky,88,46.875,52.63157895,80.0,9219,15,13,6,44.92753623,47.36842105,73.91304348,9705,14,11,7
188,2005,North Carolina,88,Wisconsin,82,53.125,31.25,83.33333333,9217,19,9,5,49.18032787,45.83333333,84.61538462,9703,17,12,5
189,2005,Illinois,72,Louisville,57,48.21428571,40.0,75.0,9224,21,7,4,38.88888889,30.0,75.0,9703,10,5,5
